slug,rss_link,author
"eatonphil","https://notes.eatonphil.com/rss.xml","Phil Eaton"
"danluu","https://danluu.com/atom.xml","Dan Luu"
"hillelwayne","https://buttondown.email/hillelwayne/rss","Hillel Wayne"
"thorstenball","https://thorstenball.com/atom.xml","Thorsten Ball"
"registerspill","https://registerspill.thorstenball.com/feed","Thorsten Ball"
"matklad","https://matklad.github.io/feed.xml","matklad (Alex Kladov)"
"hashimoto","https://mitchellh.com/feed.xml","Mitchell Hashimoto"
"lethain","https://lethain.com/feeds.xml","Will Larson"
"paradedb","https://www.paradedb.com/feed.xml","Parade DB"
"dgtlgrove","https://www.dgtlgrove.com/feed.xml","Ryan Fleury"
"transactionblog","https://transactional.blog/feed.xml","Alex Miller"
